# ARM64 retained root matrix

goos: darwin
goarch: arm64
pkg: github.com/islishude/secp256k1
cpu: Apple M3 Max
BenchmarkScalarInv-16        	  282032	      4246 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarInv-16        	  282036	      4250 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarInv-16        	  282165	      4252 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarInv-16        	  282692	      4248 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarInv-16        	  282201	      4248 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarInv-16        	  282243	      4250 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarInv-16        	  281966	      4260 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/islishude/secp256k1/internal/scalar	35.879s

# Default root matrix

goos: darwin
goarch: arm64
pkg: github.com/islishude/secp256k1
cpu: Apple M3 Max
BenchmarkVerifyHotPublicKey-16             	   53809	     20654 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   59419	     20272 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   59637	     20309 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   59085	     20319 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   58947	     20309 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   58734	     20377 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   58880	     20285 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   59268	     20312 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   59242	     20357 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   59121	     20411 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   19364	     61712 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   19545	     61562 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   19456	     61647 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   19255	     62020 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   19462	     61712 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   19411	     61710 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   19490	     61648 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   19360	     62012 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   19327	     62043 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   19370	     62044 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   20755	     57890 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   20589	     59384 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   20322	     58653 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   20661	     58141 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   20653	     58061 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   20554	     58680 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   20713	     58247 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   20481	     58405 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   20600	     58311 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   20626	     58242 ns/op	    9472 B/op	       1 allocs/op
BenchmarkSignRecoverable-16                	   49021	     24458 ns/op	       0 B/op	       0 allocs/op
